Dist_no_2011,Dist_name_2011,No. of P/S,No. of P/S Recvd,Reg. Voters,ABED BWANIKA,BESIGYE KIFEFE KIZZA,BETI OLIVE KAMYA NAMISANGO,BIDANDI SSALI JABERI,MAO NORBERT,OLARA OTUNNU,SAMUEL LUBEGA MUKAAKU WALTER,YOWERI MUSEVENI KAGUTA,Valid Votes,Invalid Votes,Total Votes
30,MPIGI,201,201,105142,843,18013,2319,453,1193,97,279,45275,68472,2198,70670
31,MUBENDE,497,497,274381,546,18557,563,694,732,113,276,126951,148432,6284,154716
32,MUKONO,419,417,244893,1250,45565,1975,924,2598,517,802,78368,131999,3864,135863
56,NAKAPIRIPIRIT,84,84,42059,115,961,50,50,53,98,189,21102,22618,1617,24235
69,NAKASEKE,187,187,81471,256,6641,560,195,195,30,63,42959,50899,1351,52250
44,NAKASONGOLA,156,156,70854,168,3160,134,122,133,41,42,43737,47537,1001,48538
95,NAMAYINGO,144,144,77199,249,8981,95,128,143,345,171,36575,46687,2046,48733
75,NAMUTUMBA,139,139,88779,244,7394,102,121,176,361,1109,45747,55254,1909,57163
107,NAPAK,107,107,41809,95,616,62,76,67,78,386,18983,20363,2177,22540
33,NEBBI,278,278,153092,879,23692,378,267,797,11088,462,52421,89984,4599,94583
108,NGORA,85,85,51937,234,15838,157,113,120,624,236,16116,33438,1967,35405
96,NTOROKO,55,55,30884,65,2029,32,41,26,15,60,13184,15452,796,16248
34,NTUNGAMO,375,375,219841,456,33628,213,271,73,62,649,110779,146131,3138,149269
110,NWOYA,65,65,39996,223,1305,84,123,9837,768,195,4563,17098,855,17953
86,OTUKE,57,57,32544,245,3211,87,111,142,2165,144,14566,20671,962,21633
76,OYAM,238,218,127457,709,19822,551,476,847,4630,576,41985,69596,2809,72405
50,PADER,138,138,69912,416,4866,166,498,5510,6077,213,15188,32934,2953,35887
35,PALLISA,234,234,134383,678,30056,240,355,385,597,623,57117,90051,3290,93341
36,RAKAI,343,343,210173,730,31436,1567,438,1215,93,335,84842,120656,7370,128026
112,RUBIRIZI,100,100,56690,66,5375,50,65,48,29,105,29901,35639,1418,37057
37,RUKUNGIRI,271,270,145743,211,40288,161,132,56,28,111,59850,100837,3203,104040
97,SERERE,158,156,94168,518,32453,449,359,246,609,295,24069,58998,3812,62810
101,SHEEMA,170,170,94908,117,13921,144,139,65,91,51,50497,65025,1533,66558
51,SIRONKO,250,248,108888,253,30124,114,83,176,88,101,34479,65418,1976,67394
38,SOROTI,181,181,116335,692,41872,258,217,436,867,490,23711,68543,2585,71128
45,SSEMBABULE,200,200,105296,242,11779,373,129,195,35,92,56053,68898,1669,70567
39,TORORO,382,375,205115,758,41933,418,623,952,6677,708,75820,127889,5494,133383
52,WAKISO,1019,991,749470,3602,145985,7387,2491,15180,629,719,170890,346883,9306,356189
53,YUMBE,177,177,100592,644,18698,263,493,465,1182,411,31811,53967,2562,56529
87,ZOMBO,164,164,83907,441,9621,444,401,275,2156,240,34407,47985,3178,51163
